id,title,year,#votes,1,2,3,4,5,6,7,8,9,10
tt6802400,Coming 2 America,2021,35906,2746,1935,2468,3334,6048,7211,5078,2768,1161,3157
tt9893250,I Care a Lot,2020,66347,8886,2341,2496,3265,5901,11661,16037,9507,3047,3206
tt9770150,Nomadland,2020,32847,575,258,322,564,1256,3220,7618,9944,5664,3426
tt0094898,Coming to America,1988,184355,1077,1098,2045,4448,11845,30595,58292,39818,16479,18658
tt9620292,Promising Young Woman,2020,44838,1108,412,501,814,1814,4528,10925,12754,6497,5485
tt6475714,Monster Hunter,2020,25034,1674,1180,1733,2716,4769,5201,3436,1677,640,2008
tt10016180,The Little Things,2021,46115,787,586,1180,2493,6325,13049,12491,5500,1591,2113
tt2948372,Soul,2020,198659,1213,478,712,1336,3240,10850,32993,60843,47531,39463
tt1070874,The Trial of the Chicago 7,2020,108232,717,271,340,640,1851,6314,24071,42519,20383,11126
tt6723592,Tenet,2020,310392,6752,3279,4749,7074,15037,31371,63777,80998,50971,46384
tt3661210,The Dig,2021,44745,235,152,275,576,1874,6589,15580,12448,4254,2762
tt6878306,News of the World,2020,46433,445,225,359,817,2786,9653,17690,9376,2715,2367
tt4154796,Avengers: Endgame,2019,831311,20830,4169,5388,7990,17971,40134,92549,160118,179199,302963
tt10618286,Mank,2020,42328,689,421,664,1290,2961,6711,12913,10740,3701,2238
tt7126948,Wonder Woman 1984,2020,169344,17664,9563,12830,17431,27745,31245,22393,12006,5285,13182
tt1856101,Blade Runner 2049,2017,468224,6942,3716,4976,7517,15357,34258,77122,126471,109010,82855
tt9484998,Palm Springs,2020,88784,569,342,566,1036,3081,10207,27922,28562,10396,6103
tt2395427,Avengers: Age of Ultron,2015,752958,10704,4476,7245,14756,36305,96725,208234,194370,89794,90349
tt7737786,Greenland,2020,69482,1333,1029,1666,3086,7493,16821,19848,10328,3403,4475
tt13143964,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,111422,5554,1936,2463,3966,8738,20453,31886,19468,7371,9587
tt0068646,The Godfather,1972,1634994,37203,5913,6311,8494,16715,30246,79156,201090,405749,844117
tt10886166,365 dni,2020,53541,16212,6581,5721,4904,4560,3172,2609,2214,1314,6254
tt5363618,Sound of Metal,2019,39355,179,98,140,236,653,2512,9467,15604,7350,3116
tt4154664,Captain Marvel,2019,454536,28190,6694,8307,13783,29749,71201,123910,90256,36314,46132
tt2267998,Gone Girl,2014,869162,6831,2934,4254,7005,15546,44923,144569,300549,227984,114567
tt10514222,Ma Rainey's Black Bottom,2020,26838,477,237,336,684,1682,4219,8242,6789,2410,1762
tt6751668,Gisaengchung,2019,574962,4790,1618,2077,3044,7076,18366,60643,149411,184672,143265
tt4154756,Avengers: Infinity War,2018,848655,14241,3127,3898,5984,13435,34289,90380,179032,214705,289564
tt7131622,Once Upon a Time... in Hollywood,2019,563804,11255,5765,7927,11493,23396,52807,117930,161856,100780,70595
tt0111161,The Shawshank Redemption,1994,2361810,34839,4372,4735,6612,13590,26377,87949,275019,604449,1303868
tt3631112,The Girl on the Train,2016,171054,1875,1650,3011,6810,17216,42004,56296,27441,8170,6581
tt3501632,Thor: Ragnarok,2017,596863,6349,2327,3300,5923,14024,40359,114442,190478,123163,96498
tt8946378,Knives Out,2019,470301,2789,1213,1727,3132,8183,28198,97200,175071,98247,54541
tt0102926,The Silence of the Lambs,1991,1282355,5784,2596,3299,5821,13088,36261,136392,358705,421269,299140
tt0468569,The Dark Knight,2008,2321116,30439,7207,8127,11480,23374,49759,138582,357003,653566,1041579
tt0241527,Harry Potter and the Sorcerer's Stone,2001,664573,7627,2621,4337,8311,22768,65680,172174,181546,81445,118064
tt1570728,"Crazy, Stupid, Love.",2011,476322,2507,1800,3000,6396,17673,55400,140394,146017,59301,43834
tt9214832,Emma.,2020,33282,707,442,652,1247,2802,6403,9925,6200,2531,2373
tt2015381,Guardians of the Galaxy,2014,1050883,9867,4083,5859,10372,23340,63993,177304,315558,244775,195732
tt1825683,Black Panther,2018,633092,19958,6330,8309,14070,31738,74006,151717,154644,79626,92694
tt7286456,Joker,2019,961413,11936,4135,5226,8084,17016,40014,101387,204483,257322,311810
tt0816692,Interstellar,2014,1529573,12916,5647,7655,12345,24689,57682,150477,295204,416052,546906
tt10288566,Druk,2020,46287,300,134,200,368,978,3145,10423,16637,8725,5377
tt0106677,Dazed and Confused,1993,167211,1601,1058,1625,2895,6677,16150,37037,46049,25395,28724
tt1025100,Gemini Man,2019,89920,3052,2137,4031,7685,16967,25265,18014,7111,2180,3478
tt8367814,The Gentlemen,2019,249671,1556,787,1192,2240,5602,16032,50497,87715,51769,32281
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,1673814,27097,6942,8343,11072,22771,46997,133761,318281,463569,634981
tt0993846,The Wolf of Wall Street,2013,1203034,11726,5607,7602,11412,24366,61949,178066,354615,320497,227194
tt1375666,Inception,2010,2085016,17723,6962,8762,13519,27106,61077,175646,412043,632771,729407
tt8772262,Midsommar,2019,207294,8688,3819,4660,6966,13017,26292,50990,51587,25480,15795
tt0110912,Pulp Fiction,1994,1840674,25707,8965,10494,14289,27008,52445,141919,335596,545625,678626
tt0120338,Titanic,1997,1054047,24816,8946,12552,18966,39788,84988,196206,255580,170904,241301
tt0974015,Justice League,2017,389717,12973,7481,12647,22983,46164,81423,91459,52668,21966,39953
tt0078788,Apocalypse Now,1979,610898,6128,2906,4067,6787,13455,30070,76741,146498,162610,161636
tt0109830,Forrest Gump,1994,1825606,12151,5983,7682,11778,22873,51501,152430,376498,557809,626901
tt1727824,Bohemian Rhapsody,2018,457743,3610,1657,2778,5708,12378,30264,71366,123788,104944,101250
tt0120689,The Green Mile,1999,1158263,5222,2588,3998,6661,14126,37554,122886,299128,360820,305280
tt0107290,Jurassic Park,1993,874220,4132,2581,4175,7582,18491,51280,156646,287423,184160,157750
tt3553976,Captain Fantastic,2016,192358,1246,667,883,1647,3935,12566,39479,67868,39006,25061
tt1431045,Deadpool,2016,910162,10967,4270,5915,9892,22020,60349,154458,259075,198884,184332
tt3774694,Love,2015,49406,2468,1493,1995,3339,6140,9096,9959,7070,3449,4397
tt8579674,1917,2019,441216,2169,919,1435,2510,6425,19677,64417,136152,127905,79607
tt0133093,The Matrix,1999,1689821,16134,6516,8624,12597,25498,57403,166764,377474,506644,512167
tt5463162,Deadpool 2,2018,485668,4380,1944,2776,5373,14077,44057,115911,151424,80085,65641
tt2660888,Star Trek Beyond,2016,229786,2320,1291,2451,4914,13138,37971,76896,55993,19456,15356
tt7395114,The Devil All the Time,2020,96666,1068,618,1016,2008,5192,13953,31029,26268,9081,6433
tt11161474,Pieces of a Woman,2020,28020,477,227,302,616,1486,4426,9266,7018,2492,1710
tt6857112,Us,2019,232796,8958,4181,5982,9395,18379,38466,61419,50255,21030,14731
