id,title,year,#votes,1,2,3,4,5,6,7,8,9,10
tt6802400,Coming 2 America,2021,36585,2804,1971,2510,3391,6170,7337,5161,2816,1185,3240
tt9893250,I Care a Lot,2020,66881,8972,2360,2512,3287,5940,11756,16149,9585,3084,3236
tt9770150,Nomadland,2020,33068,578,261,324,570,1267,3237,7680,10007,5698,3446
tt1361336,Tom and Jerry,2021,13913,976,667,887,1300,2225,2540,1814,999,436,2069
tt0094898,Coming to America,1988,184632,1084,1098,2046,4451,11856,30627,58377,39881,16507,18705
tt5109280,Raya and the Last Dragon,2021,25152,403,166,222,378,862,2332,5699,7030,3663,4397
tt4761112,The Mauritanian,2021,7486,182,47,50,70,266,742,1958,2045,966,1160
tt6432466,Moxie,2021,9582,499,160,181,322,643,1496,2407,1673,733,1468
tt2076822,Chaos Walking,2021,2232,133,65,110,143,234,412,397,235,111,392
tt11762434,Cosmic Sin,2021,2905,1069,572,430,252,156,79,41,24,22,260
tt8521718,The United States vs. Billie Holiday,2021,3429,110,61,83,193,371,642,738,522,243,466
tt9784798,Judas and the Black Messiah,2021,22947,590,132,134,191,569,1677,5157,7742,3875,2880
tt9620292,Promising Young Woman,2020,44995,1110,413,501,816,1819,4546,10960,12811,6514,5505
tt7638348,Boss Level,2021,12267,154,102,143,295,806,2341,3979,2510,953,984
tt6475714,Monster Hunter,2020,25153,1685,1182,1746,2729,4783,5225,3452,1685,643,2023
tt10016180,The Little Things,2021,46229,788,588,1181,2502,6342,13083,12518,5514,1595,2118
tt10633456,Minari,2020,14311,138,70,93,142,381,1231,3520,4789,2533,1414
tt2948372,Soul,2020,198981,1218,479,713,1339,3248,10871,33051,60931,47598,39533
tt9110170,Wrong Turn,2021,11186,970,513,687,1028,1792,2401,1748,869,332,846
tt1070874,The Trial of the Chicago 7,2020,108414,720,271,340,642,1857,6323,24121,42584,20413,11143
tt9130508,Cherry,2021,6640,237,122,167,269,521,940,1414,1170,604,1196
tt6723592,Tenet,2020,310645,6759,3284,4750,7080,15053,31392,63847,81071,51002,46407
